input,output
What are the individuals responsible for addressing violations of sections 152 or 157 relating to abusive reaffirmations of debt and materially fraudulent statements in bankruptcy schedules?,The United States attorneys and agents of the Federal Bureau of Investigation are responsible for addressing violations of sections 152 or 157 relating to abusive reaffirmations of debt and materially fraudulent statements in bankruptcy schedules.
"What is the maximum sentence that can be imposed upon someone who knowingly develops, produces, stockpiles, transfers, acquires, retains, or possesses any biological agent, toxin, or delivery system for use as a weapon?","The maximum sentence that can be imposed upon someone who knowingly develops, produces, stockpiles, transfers, acquires, retains, or possesses any biological agent, toxin, or delivery system for use as a weapon is life or any term of years."
Under what circumstances can the Attorney General request military assistance to enforce prohibition in regards to biological weapons of mass destruction?,The Attorney General may request military assistance to enforce prohibition in regards to biological weapons of mass destruction in an emergency situation involving a biological weapon of mass destruction.
"What is the meaning of ""restricted person"" according to this section?","According to this section, a ""restricted person"" means an individual who:

(A) is under indictment for a crime punishable by imprisonment for a term exceeding 1 year;

(B) has been convicted in any court of a crime punishable by imprisonment for a term exceeding 1 year;

(C) is a fugitive from justice;

(D) is an unlawful user of any controlled substance (as defined in section 102 of the Controlled Substances Act);

(E) is an alien illegally or unlawfully in the United States;

(F) has been adjudicated as a mental defective or has been committed to any mental institution;

(G)(i) is an alien (other than an alien lawfully admitted for permanent residence) who is a national of a country as to which the Secretary of State, pursuant to section 6(j) of the Export Administration Act of 1979, section 620A of chapter 1 of part M of the Foreign Assistance Act of 1961, or section 40(d) of chapter 3 of the Arms Export Control Act, has made a determination (that remains in effect) that such country has repeatedly provided support for acts of international terrorism, or (ii) acts for or on behalf of, or operates subject to the direction or control of, a government or official of a country described in this subparagraph;

(H) has been discharged from the Armed Services of the United States under dishonorable conditions; or

(I) is a member of, acts for or on behalf of, or operates subject to the direction or control of, a terrorist organization as defined in section 212(a)(3)(B)(vi) of the Immigration and Nationality Act."
What is the maximum fine that can be imposed on an individual who attempts to use variola virus in violation of 18 USC 175c?,"The maximum fine that can be imposed on an individual who attempts to use variola virus in violation of 18 USC 175c is $2,000,000."
"What constitutes an ""exigent circumstance"" that would allow for the seizure and destruction of a biological agent, toxin, or delivery system without a warrant?","According to the text, an ""exigent circumstance"" is defined as circumstances in which seizure and destruction of any biological agent, toxin, or delivery system described in subparagraphs (A) and (B) of paragraph (1) may be made upon probable cause without the necessity for a warrant."
What types of conduct can the United States obtain an injunction against according to 18 USC 177?,"According to 18 USC 177, the United States may obtain an injunction against:

1. The conduct prohibited under section 175 of this title;
2. The preparation, solicitation, attempt, threat, or conspiracy to engage in conduct prohibited under section 175 of this title; or
3. The development, production, stockpiling, transferring, acquisition, retention, or possession, or the attempted development, production, stockpiling, transferring, acquisition, retention, or possession of any biological agent, toxin, or delivery system of a type or in a quantity that under the circumstances has no apparent justification for prophylactic, protective, or other peaceful purposes."
What is an example of a biological agent that can cause deleterious alteration of the environment?,"An example of a biological agent that can cause deleterious alteration of the environment is any microorganism or infectious substance capable of causing deterioration of water, equipment, supplies, or material of any kind."
"What is meant by an ""official act"" in the context of bribery under 18 USC 201?","An ""official act"" means any decision or action on any question, matter, cause, suit, proceeding, or controversy that may at any time be pending, or which may by law be brought before any public official, in such official's official capacity, or in such official's place of trust or profit."
"What is meant by the term ""special Government employee"" according to 18 USC 202?","An officer or employee of the executive or legislative branch of the United States Government, of any independent agency of the United States or of the District of Columbia, who is retained, designated, appointed, or employed to perform, with or without compensation, for not to exceed one hundred and thirty days during any period of three hundred and sixty-five consecutive days, temporary duties either on a full-time or intermittent basis."
"What is considered ""compensation"" for representational services rendered by an individual who is a Member of Congress, officer, or employee of the United States?","According to subsection (a), compensation for representational services rendered by an individual who is a Member of Congress, officer, or employee of the United States includes any demand, seeking, receiving, accepting, or agreeing to receive or accept compensation. This encompasses direct or indirect receipt of compensation, whether personally or through another, in relation to any proceeding, application, request for a ruling or other determination, contract, claim, controversy, charge, accusation, arrest, or other particular matter where the United States is a party or has a direct and substantial interest."
What would happen if a Member of Congress or Member of Congress Elect practices in the United States Court of Federal Claims or the United States Court of Appeals for the Federal Circuit?,"According to this section, a Member of Congress or Member of Congress Elect who practices in the United States Court of Federal Claims or the United States Court of Appeals for the Federal Circuit shall be subject to the penalties set forth in section 216 of this title."
What are the circumstances under which an officer or employee of the United States is prohibited from acting as agent or attorney for someone in connection with a covered matter?,"An officer or employee of the United States is prohibited from acting as agent or attorney for someone in connection with a covered matter if they act as such without proper discharge of official duties. This includes:

* Acting as agent or attorney for prosecuting any claim against the United States, or receiving any gratuity or share of interest in any such claim (subsection (a)(1))
* Acting as agent or attorney for anyone before any department, agency, court, officer, or commission in connection with a covered matter where the United States is a party or has a direct and substantial interest (subsection (a)(2), (b)(1) and (2))
* Acting as agent or attorney for someone in a matter where they have participated personally and substantially through decision, approval, disapproval, recommendation, advice, investigation, or otherwise (subsection (c)(1))"
What is exempt from applying while a retired officer of the uniformed services is not on active duty?,Sections 203 and 205 of this title.
What is the maximum number of officers and employees currently employed by the Federal Government who may have been granted waivers under subsection (k)(1)?,The maximum number of officers and employees currently employed by the Federal Government who may have been granted waivers under subsection (k)(1) is 25.
What is the condition under which an officer or employee of the executive branch of the United States Government may participate in a particular matter despite having a financial interest in it?,"According to subsection (b) of 18 USC 208, an officer or employee of the executive branch of the United States Government may participate in a particular matter despite having a financial interest in it if:

1. They first advise the Government official responsible for their appointment of the nature and circumstances of the particular matter and make full disclosure of the financial interest.
2. In advance, they receive a written determination from that official that the interest is not so substantial as to be deemed likely to affect the integrity of the services which the Government may expect from them.

Additionally, exemptions are also allowed under subsections (b)(2), (b)(3), and (b)(4) of this section."
What are the circumstances under which an officer or employee of the United States Government may receive salary or compensation from a source other than the Government?,"According to subsection (c), an officer or employee of the United States Government may receive salary or compensation from a source other than the Government in the following circumstances:

* As a special Government employee
* Serving without compensation, whether or not they are a special Government employee
* Any person paying, contributing to, or supplementing their salary as such"
What is the punishment for paying or offering something of value to influence someone in consideration of securing an appointive office under the United States?,"According to the section, the punishment is a fine under this title or imprisonment not more than one year, or both."
What is considered a punishable offense under 18 USC 211?,"Whoever solicits or receives, either as a political contribution, or for personal emolument, any money or thing of value, in consideration of the promise of support or use of influence in obtaining for any person any appointive office or place under the United States, shall be fined under this title or imprisoned not more than one year, or both.

Additionally, whoever solicits or receives any thing of value in consideration of aiding a person to obtain employment under the United States either by referring his name to an executive department or agency of the United States or by requiring the payment of a fee because such person has secured such employment shall be fined under this title, or imprisoned not more than one year, or both.

So, it is considered a punishable offense under 18 USC 211 if someone solicits or receives anything of value in consideration of obtaining an appointive office or place under the United States or aiding someone to obtain employment under the United States."
"What are the consequences for an officer, director, or employee of a financial institution who makes or grants a loan or gratuity to an examiner or assistant examiner?","Whoever, being an officer, director, or employee of a financial institution, makes or grants any loan or gratuity to any examiner or assistant examiner shall be fined under this title, imprisoned not more than 1 year, or both. Additionally, they may be fined a further sum equal to the money so loaned or gratuity given."
What is the maximum length of imprisonment that can be imposed on an examiner who accepts a loan or gratuity from a financial institution examined by them?,The maximum length of imprisonment that can be imposed on an examiner who accepts a loan or gratuity from a financial institution examined by them is 1 year.
What is the maximum penalty for violating 18 USC 214?,"The maximum penalty for violating 18 USC 214 is imprisonment not more than one year, or both."
"What is the maximum fine or imprisonment that can be imposed on an individual who corruptly gives, offers, or promises anything of value to influence or reward an officer, director, employee, agent, or attorney of a financial institution?","The maximum fine or imprisonment that can be imposed on an individual who corruptly gives, offers, or promises anything of value to influence or reward an officer, director, employee, agent, or attorney of a financial institution is:

Fined not more than $1,000,000 or three times the value of the thing given, offered, promised, whichever is greater, or imprisoned not more than 30 years, or both."
"What is the maximum civil penalty that can be imposed on a person found to have engaged in conduct constituting an offense under sections 203, 204, 205, 207, 208, or 209 of this title?","The maximum civil penalty that can be imposed on a person found to have engaged in conduct constituting an offense under sections 203, 204, 205, 207, 208, or 209 of this title is $50,000 for each violation."
"What is the penalty for an officer or employee of the United States who accepts consideration in connection with the compromise, adjustment, or cancellation of farm indebtedness?","The penalty is to be fined under this title or imprisoned not more than one year, or both."
What is the outcome when there has been a final conviction for any violation of 18 USC 218?,"The President or, under regulations prescribed by him, the head of any department or agency involved, may declare void and rescind any transaction, and the United States shall be entitled to recover in addition to any penalty prescribed by law or in a contract the amount expended or the thing transferred or delivered on its behalf, or the reasonable value thereof."
"What is considered a ""public official"" under 18 USC 219?","A ""public official"" under 18 USC 219 means:

* Member of Congress, Delegate, or Resident Commissioner, either before or after he has qualified
* An officer or employee or person acting for or on behalf of the United States, or any department, agency, or branch of Government thereof, including the District of Columbia, in any official function, under or by authority of any such department, agency, or branch of Government."
What is exempted from being considered an illegal remuneration under 18 USC 220?,"The following are exempted from being considered an illegal remuneration under 18 USC 220:

1. A discount or other reduction in price obtained by a provider of services or other entity under a health care benefit program, if the reduction in price is properly disclosed and appropriately reflected in the costs claimed or charges made by the provider or entity.
2. A payment made by an employer to an employee or independent contractor for employment, as long as the employee's payment is not determined by or does not vary by the number of individuals referred to a particular recovery home, clinical treatment facility, or laboratory; the number of tests or procedures performed; or the amount billed to or received from, in part or in whole, the health care benefit program from the individuals referred to a particular recovery home, clinical treatment facility, or laboratory.
3. A discount in the price of an applicable drug of a manufacturer that is furnished to an applicable beneficiary under the Medicare coverage gap discount program under section 1860D–14A(g) of the Social Security Act (42 U.S.C. 1395w–114a(g)).
4. A payment made by a principal to an agent as compensation for the services of the agent under a personal services and management contract that meets the requirements of section 1001.952(d) of title 42, Code of Federal Regulations, as in effect on the date of enactment of this section.
5. A waiver or discount (as defined in section 1001.952(h)(5) of title 42, Code of Federal Regulations, or any successor regulation) of any coinsurance or copayment by a health care benefit program if the waiver or discount is not routinely provided and is provided in good faith.
6. A remuneration described in section 1128B(b)(3)(I) of the Social Security Act (42 U.S.C. 1320a–7b(b)(3)(I)).
7. A remuneration made pursuant to an alternative payment model (as defined in section 1833(z)(3)(C) of the Social Security Act) or pursuant to a payment arrangement used by a State, health insurance issuer, or group health plan if the Secretary of Health and Human Services has determined that such arrangement is necessary for care coordination or value-based care.
8. Any other payment, remuneration, discount, or reduction as determined by the Attorney General, in consultation with the Secretary of Health and Human Services, by regulation."
What was renumbered from sections 221 to 222?,"According to the text, §§221 to 222 were renumbered as §§216 and 217."
"What is the maximum sentence that can be imposed on an individual who carries into effect, attempts to carry into effect, or conspires with others to influence a sporting contest through bribery?","The maximum sentence that can be imposed on an individual who carries into effect, attempts to carry into effect, or conspires with others to influence a sporting contest through bribery is imprisonment not more than 5 years."
What is the minimum amount of gross receipts an enterprise must receive during any 24-month period for the organizer to be fined?,"According to the text, the minimum amount of gross receipts an enterprise must receive during any 24-month period for the organizer to be fined is $5,000,000."
What is the maximum sentence an individual can receive if they are convicted of bribery affecting port security under 18 USC 226?,An individual can receive a maximum sentence of 15 years if they are convicted of bribery affecting port security under 18 USC 226.
"What is considered an ""official act"" under this section of the US code?","According to this section, an ""official act"" is taking or withholding, or offering or threatening to take or withhold, an official act."
"What are the consequences for an individual who willfully fails to pay a support obligation with respect to a child who resides in another State, if such obligation has remained unpaid for a period longer than 1 year?","The consequences for an individual who willfully fails to pay a support obligation with respect to a child who resides in another State, if such obligation has remained unpaid for a period longer than 1 year, are a fine under this title, imprisonment for not more than 6 months, or both."
"Is it lawful for a person authorized by an appropriate officer of the United States to retain, own, possess, transfer, or receive a chemical weapon?",Yes.
What is the maximum civil penalty that can be imposed against an individual who violates Section 229 of this title?,"The maximum civil penalty that can be imposed against an individual who violates Section 229 of this title is $100,000 for each such violation."
What is an affirmative defense against a forfeiture under subsection (b) according to 18 USC 229B?,"According to 18 USC 229B, an affirmative defense against a forfeiture under subsection (b) is that the property:

(1) is for a purpose not prohibited under the Chemical Weapons Convention; and
(2) is of a type and quantity that under the circumstances is consistent with that purpose."
What types of devices are exempt from prohibition under this chapter?,"Individual self-defense devices, including those using a pepper spray or chemical mace."
What types of conduct can be subject to an injunction under 18 USC 229D?,"Conduct prohibited under sections 229, 229C, or preparation/solicitation to engage in such conduct."
Under what circumstances can the Attorney General request military assistance to enforce prohibition under 18 USC 229?,An emergency situation involving a chemical weapon.
"What does the term ""toxic chemical"" mean in this chapter?","The term ""toxic chemical"" means any chemical which through its chemical action on life processes can cause death, temporary incapacitation or permanent harm to humans or animals. The term includes all such chemicals, regardless of their origin or of their method of production, and regardless of whether they are produced in facilities, in munitions or elsewhere."
"What would be considered an unlawful act if it obstructs, delays, or adversely affects commerce or the movement of any article or commodity in commerce?","According to the section, an unlawful act that would obstruct, delay, or adversely affect commerce or the movement of any article or commodity in commerce is using a firearm or explosive or incendiary device in furtherance of a civil disorder."
"What is the definition of a ""firearm"" according to 18 USC 232?","A ""firearm"" means any weapon which is designed to or may readily be converted to expel any projectile by the action of an explosive; or the frame or receiver of any such weapon."
What does Congress intend to accomplish by stating that it is not occupying the field in which this chapter operates?,"Congress intends to indicate an intent not to occupy the field in which any provisions of this chapter operate, meaning it does not intend to exclude State or local laws on the same subject matter."
